flight_no;amount;fare_conditions;seat_no;additional_money
PG0013;42100;Business;4H;false
PG0013;42100;Business;4K;false
PG0013;42100;Business;5A;false
PG0013;42100;Business;5C;false
PG0013;42100;Business;5D;false
PG0013;42100;Business;5G;false
PG0013;42100;Business;5H;false
PG0013;42100;Business;5K;false
PG0013;23900;Comfort;11A;false
PG0013;23900;Comfort;11C;false
PG0013;23900;Comfort;11D;false
PG0013;23900;Comfort;11E;false
PG0013;23900;Comfort;11F;false
PG0013;23900;Comfort;11G;false
PG0013;23900;Comfort;11H;false
PG0013;23900;Comfort;11K;false
PG0013;23900;Comfort;12A;false
PG0013;23900;Comfort;12C;false
PG0013;23900;Comfort;12D;false
PG0013;23900;Comfort;12E;false
PG0013;23900;Comfort;12F;false
PG0013;23900;Comfort;12G;false
PG0013;23900;Comfort;12H;false
PG0013;23900;Comfort;12K;false
PG0013;23900;Comfort;13A;false
PG0013;23900;Comfort;13C;false
PG0013;23900;Comfort;13D;false
PG0013;23900;Comfort;13E;false
PG0013;23900;Comfort;13F;false
PG0013;23900;Comfort;13G;false
PG0013;23900;Comfort;13H;false
PG0013;23900;Comfort;13K;false
PG0013;23900;Comfort;14A;false
PG0013;23900;Comfort;14C;false
PG0013;23900;Comfort;14D;false
PG0013;23900;Comfort;14E;false
PG0013;23900;Comfort;14F;false
PG0013;23900;Comfort;14G;false
PG0013;23900;Comfort;14H;false
PG0013;23900;Comfort;14K;false
PG0013;23900;Comfort;15A;false
PG0013;23900;Comfort;15C;false
PG0013;23900;Comfort;15D;false
PG0013;23900;Comfort;15E;false
PG0013;23900;Comfort;15F;false
PG0013;23900;Comfort;15G;false
PG0013;23900;Comfort;15H;false
PG0013;23900;Comfort;15K;false
PG0013;23900;Comfort;16A;false
PG0013;23900;Comfort;16C;false
PG0013;23900;Comfort;16D;false
PG0013;23900;Comfort;16E;false
PG0013;23900;Comfort;16F;false
PG0013;23900;Comfort;16G;false
PG0013;23900;Comfort;16H;false
PG0013;23900;Comfort;16K;false
PG0013;14000;Economy;17A;false
PG0013;14000;Economy;17C;false
PG0013;14000;Economy;17D;false
PG0013;14000;Economy;17E;false
PG0013;14000;Economy;17F;false
PG0013;14000;Economy;17G;false
PG0013;14000;Economy;17H;false
PG0013;14000;Economy;17K;false
PG0013;14000;Economy;18A;false
PG0013;14000;Economy;18B;false
PG0013;14000;Economy;18C;false
PG0013;14000;Economy;18D;false
PG0013;14000;Economy;18E;false
PG0013;14000;Economy;18F;false
PG0013;14000;Economy;18G;false
PG0013;14000;Economy;18H;false
PG0013;14000;Economy;18J;false
PG0013;14000;Economy;18K;false
PG0013;14000;Economy;19A;false
PG0013;14000;Economy;19B;false
PG0013;14000;Economy;19C;false
PG0013;14000;Economy;19D;false
PG0013;14000;Economy;19E;false
PG0013;14000;Economy;19F;false
PG0013;14000;Economy;19G;false
PG0013;14000;Economy;19H;false
PG0013;14000;Economy;19J;false
PG0013;14000;Economy;19K;false
PG0013;14000;Economy;20A;false
PG0013;14000;Economy;20B;false
PG0013;14000;Economy;20C;false
PG0013;14000;Economy;20D;false
PG0013;14000;Economy;20E;false
PG0013;14000;Economy;20F;false
PG0013;14000;Economy;20G;false
PG0013;14000;Economy;20H;false
PG0013;14000;Economy;20J;false
PG0013;14000;Economy;20K;false
PG0013;14000;Economy;21A;false
PG0013;14000;Economy;21B;false
PG0013;14000;Economy;21C;false
PG0013;14000;Economy;21D;false
PG0013;14000;Economy;21E;false
PG0013;14000;Economy;21F;false
PG0013;14000;Economy;21G;false
PG0013;14000;Economy;21H;false
PG0013;14000;Economy;21J;false
PG0013;14000;Economy;21K;false
PG0013;14000;Economy;22A;false
PG0013;14000;Economy;22B;false
PG0013;14000;Economy;22C;false
PG0013;14000;Economy;22D;false
PG0013;14000;Economy;22E;false
PG0013;14000;Economy;22F;false
PG0013;14000;Economy;22G;false
PG0013;14000;Economy;22H;false
PG0013;14000;Economy;22J;false
PG0013;14000;Economy;22K;false
PG0013;14000;Economy;23A;false
PG0013;14000;Economy;23B;false
PG0013;14000;Economy;23C;false
PG0013;14000;Economy;23D;false
PG0013;14000;Economy;23E;false
PG0013;14000;Economy;23F;false
PG0013;14000;Economy;23G;false
PG0013;14000;Economy;23H;false
PG0013;14000;Economy;23J;false
PG0013;14000;Economy;23K;false
PG0013;14000;Economy;24D;false
PG0013;14000;Economy;24E;false
PG0013;14000;Economy;24F;false
PG0013;14000;Economy;24G;false
PG0013;15400;Economy;25A;true
PG0013;15400;Economy;25B;true
PG0013;15400;Economy;25C;true
PG0013;14000;Economy;25D;false
PG0013;14000;Economy;25E;false
PG0013;14000;Economy;25F;false
PG0013;14000;Economy;25G;false
PG0013;15400;Economy;25H;true
PG0013;15400;Economy;25J;true
PG0013;15400;Economy;25K;true
PG0013;14000;Economy;26A;false
PG0013;14000;Economy;26B;false
PG0013;14000;Economy;26C;false
PG0013;14000;Economy;26D;false
PG0013;14000;Economy;26E;false
PG0013;14000;Economy;26F;false
PG0013;14000;Economy;26G;false
PG0013;14000;Economy;26H;false
PG0013;14000;Economy;26J;false
PG0013;14000;Economy;26K;false
PG0013;14000;Economy;27A;false
PG0013;14000;Economy;27B;false
PG0013;14000;Economy;27C;false
PG0013;14000;Economy;27D;false
PG0013;14000;Economy;27E;false
PG0013;14000;Economy;27F;false
PG0013;14000;Economy;27G;false
PG0013;14000;Economy;27H;false
PG0013;14000;Economy;27J;false
PG0013;14000;Economy;27K;false
PG0013;14000;Economy;28A;false
PG0013;14000;Economy;28B;false
PG0013;14000;Economy;28C;false
PG0013;14000;Economy;28D;false
PG0013;14000;Economy;28E;false
PG0013;14000;Economy;28F;false
PG0013;14000;Economy;28G;false
PG0013;14000;Economy;28H;false
PG0013;14000;Economy;28J;false
PG0013;14000;Economy;28K;false
PG0013;14000;Economy;29A;false
PG0013;14000;Economy;29B;false
PG0013;14000;Economy;29C;false
PG0013;14000;Economy;29D;false
PG0013;14000;Economy;29E;false
PG0013;14000;Economy;29F;false
PG0013;14000;Economy;29G;false
PG0013;14000;Economy;29H;false
PG0013;14000;Economy;29J;false
PG0013;14000;Economy;29K;false
PG0013;14000;Economy;30A;false
PG0013;14000;Economy;30B;false
PG0013;14000;Economy;30C;false
PG0013;14000;Economy;30D;false
PG0013;14000;Economy;30E;false
PG0013;14000;Economy;30F;false
PG0013;14000;Economy;30G;false
PG0013;14000;Economy;30H;false
PG0013;14000;Economy;30J;false
PG0013;14000;Economy;30K;false
PG0013;14000;Economy;31A;false
PG0013;14000;Economy;31B;false
PG0013;14000;Economy;31C;false
PG0013;14000;Economy;31D;false
PG0013;14000;Economy;31E;false
PG0013;14000;Economy;31F;false
PG0013;14000;Economy;31G;false
PG0013;14000;Economy;31H;false
PG0013;14000;Economy;31J;false
PG0013;14000;Economy;31K;false
PG0013;14000;Economy;32A;false
PG0013;14000;Economy;32B;false
PG0013;14000;Economy;32C;false
PG0013;14000;Economy;32D;false
PG0013;14000;Economy;32E;false
PG0013;14000;Economy;32F;false
PG0013;14000;Economy;32G;false
PG0013;14000;Economy;32H;false
PG0013;14000;Economy;32J;false
PG0013;14000;Economy;32K;false
PG0013;14000;Economy;33A;false
PG0013;14000;Economy;33B;false
PG0013;14000;Economy;33C;false
PG0013;14000;Economy;33D;false
PG0013;14000;Economy;33E;false
PG0013;14000;Economy;33F;false
PG0013;14000;Economy;33G;false
PG0013;14000;Economy;33H;false
PG0013;14000;Economy;33J;false
PG0013;14000;Economy;33K;false
PG0013;14000;Economy;34A;false
PG0013;14000;Economy;34B;false
PG0013;14000;Economy;34C;false
PG0013;14000;Economy;34D;false
PG0013;14000;Economy;34E;false
PG0013;14000;Economy;34F;false
PG0013;14000;Economy;34G;false
PG0013;14000;Economy;34H;false
PG0013;14000;Economy;34J;false
PG0013;14000;Economy;34K;false
PG0013;14000;Economy;35A;false
PG0013;14000;Economy;35B;false
PG0013;14000;Economy;35C;false
PG0013;14000;Economy;35D;false
PG0013;14000;Economy;35E;false
PG0013;14000;Economy;35F;false
PG0013;14000;Economy;35G;false
PG0013;14000;Economy;35H;false
PG0013;14000;Economy;35J;false
PG0013;14000;Economy;35K;false
PG0013;14000;Economy;36A;false
PG0013;14000;Economy;36B;false
PG0013;14000;Economy;36C;false
PG0013;14000;Economy;36D;false
PG0013;14000;Economy;36E;false
PG0013;14000;Economy;36F;false
PG0013;14000;Economy;36G;false
PG0013;14000;Economy;36H;false
PG0013;14000;Economy;36J;false
PG0013;14000;Economy;36K;false
PG0013;14000;Economy;37A;false
PG0013;14000;Economy;37B;false
PG0013;14000;Economy;37C;false
PG0013;14000;Economy;37D;false
PG0013;14000;Economy;37E;false
PG0013;14000;Economy;37F;false
PG0013;14000;Economy;37G;false
PG0013;14000;Economy;37H;false
PG0013;14000;Economy;37J;false
PG0013;14000;Economy;37K;false
PG0013;15400;Economy;38A;true
PG0013;15400;Economy;38B;true
PG0013;15400;Economy;38C;true
PG0013;15400;Economy;38H;true
PG0013;15400;Economy;38J;true
PG0013;15400;Economy;38K;true
PG0013;14000;Economy;39A;false
PG0013;14000;Economy;39B;false
PG0013;14000;Economy;39C;false
PG0013;14000;Economy;39D;false
PG0013;14000;Economy;39E;false
PG0013;14000;Economy;39F;false
PG0013;14000;Economy;39G;false
PG0013;14000;Economy;39H;false
PG0013;14000;Economy;39J;false
PG0013;14000;Economy;39K;false
PG0013;14000;Economy;40A;false
PG0013;14000;Economy;40B;false
PG0013;14000;Economy;40C;false
PG0013;14000;Economy;40D;false
PG0013;14000;Economy;40E;false
PG0013;14000;Economy;40F;false
PG0013;14000;Economy;40G;false
PG0013;14000;Economy;40H;false
PG0013;14000;Economy;40J;false
PG0013;14000;Economy;40K;false
PG0013;14000;Economy;41A;false
PG0013;14000;Economy;41B;false
PG0013;14000;Economy;41C;false
PG0013;14000;Economy;41D;false
PG0013;14000;Economy;41E;false
PG0013;14000;Economy;41F;false
PG0013;14000;Economy;41G;false
PG0013;14000;Economy;41H;false
PG0013;14000;Economy;41J;false
PG0013;14000;Economy;41K;false
PG0013;14000;Economy;42A;false
PG0013;14000;Economy;42B;false
PG0013;14000;Economy;42C;false
PG0013;14000;Economy;42D;false
PG0013;14000;Economy;42E;false
PG0013;14000;Economy;42F;false
PG0013;14000;Economy;42G;false
PG0013;14000;Economy;42H;false
PG0013;14000;Economy;42J;false
PG0013;14000;Economy;42K;false
PG0013;14000;Economy;43A;false
PG0013;14000;Economy;43B;false
PG0013;14000;Economy;43C;false
PG0013;14000;Economy;43D;false
PG0013;14000;Economy;43E;false
PG0013;14000;Economy;43F;false
PG0013;14000;Economy;43G;false
PG0013;14000;Economy;43H;false
PG0013;14000;Economy;43J;false
PG0013;14000;Economy;43K;false
PG0013;14000;Economy;44A;false
PG0013;14000;Economy;44B;false
PG0013;14000;Economy;44C;false
PG0013;14000;Economy;44D;false
PG0013;14000;Economy;44E;false
PG0013;14000;Economy;44F;false
PG0013;14000;Economy;44G;false
PG0013;14000;Economy;44H;false
PG0013;14000;Economy;44J;false
PG0013;14000;Economy;44K;false
PG0013;14000;Economy;45A;false
PG0013;14000;Economy;45B;false
PG0013;14000;Economy;45C;false
PG0013;14000;Economy;45D;false
PG0013;14000;Economy;45E;false
PG0013;14000;Economy;45F;false
PG0013;14000;Economy;45G;false
PG0013;14000;Economy;45H;false
PG0013;14000;Economy;45J;false
PG0013;14000;Economy;45K;false
PG0013;14000;Economy;46A;false
PG0013;14000;Economy;46B;false
PG0013;14000;Economy;46C;false
PG0013;14000;Economy;46D;false
PG0013;14000;Economy;46E;false
PG0013;14000;Economy;46F;false
PG0013;14000;Economy;46G;false
PG0013;14000;Economy;46H;false
PG0013;14000;Economy;46J;false
PG0013;14000;Economy;46K;false
PG0013;14000;Economy;47A;false
PG0013;14000;Economy;47C;false
PG0013;14000;Economy;47D;false
PG0013;14000;Economy;47E;false
PG0013;14000;Economy;47F;false
PG0013;14000;Economy;47G;false
PG0013;14000;Economy;47H;false
PG0013;14000;Economy;47K;false
PG0013;14000;Economy;48A;false
PG0013;14000;Economy;48C;false
PG0013;14000;Economy;48D;false
PG0013;14000;Economy;48E;false
PG0013;14000;Economy;48F;false
PG0013;14000;Economy;48G;false
PG0013;14000;Economy;48H;false
PG0013;14000;Economy;48K;false
PG0013;14000;Economy;49A;false
PG0013;14000;Economy;49C;false
PG0013;14000;Economy;49D;false
PG0013;14000;Economy;49E;false
PG0013;14000;Economy;49F;false
PG0013;14000;Economy;49G;false
PG0013;14000;Economy;49H;false
PG0013;14000;Economy;49K;false
PG0013;14000;Economy;50A;false
PG0013;14000;Economy;50C;false
PG0013;14000;Economy;50D;false
PG0013;14000;Economy;50E;false
PG0013;14000;Economy;50F;false
PG0013;14000;Economy;50G;false
PG0013;14000;Economy;50H;false
PG0013;14000;Economy;50K;false
PG0013;14000;Economy;51D;false
PG0013;14000;Economy;51E;false
PG0013;14000;Economy;51F;false
PG0013;14000;Economy;51G;false
PG0014;9800;Business;1A;false
PG0014;9800;Business;1C;false
PG0014;9800;Business;1D;false
PG0014;9800;Business;1F;false
PG0014;9800;Business;2A;false
PG0014;9800;Business;2C;false
PG0014;9800;Business;2D;false
PG0014;9800;Business;2F;false
PG0014;9800;Business;3A;false
PG0014;9800;Business;3C;false
PG0014;9800;Business;3D;false
PG0014;9800;Business;3F;false
PG0014;3300;Economy;10A;false
PG0014;3300;Economy;10C;false
PG0014;3300;Economy;10D;false
PG0014;3300;Economy;10E;false
PG0014;3300;Economy;10F;false
PG0014;3300;Economy;11A;false
PG0014;3300;Economy;11C;false
PG0014;3300;Economy;11D;false
PG0014;3300;Economy;11E;false
PG0014;3300;Economy;11F;false
PG0014;3300;Economy;12A;false
PG0014;3300;Economy;12C;false
PG0014;3300;Economy;12D;false
PG0014;3300;Economy;12E;false
PG0014;3300;Economy;12F;false
PG0014;3300;Economy;13A;false
PG0014;3300;Economy;13C;false
PG0014;3300;Economy;13D;false
PG0014;3300;Economy;13E;false
PG0014;3300;Economy;13F;false
PG0014;3300;Economy;14A;false
PG0014;3300;Economy;14C;false
PG0014;3300;Economy;14D;false
PG0014;3300;Economy;14E;false
PG0014;3300;Economy;14F;false
PG0014;3300;Economy;15A;false
PG0014;3300;Economy;15C;false
PG0014;3300;Economy;15D;false
PG0014;3300;Economy;15E;false
PG0014;3300;Economy;15F;false
PG0014;3300;Economy;16A;false
PG0014;3300;Economy;16C;false
PG0014;3300;Economy;16D;false
PG0014;3300;Economy;16E;false
PG0014;3300;Economy;16F;false
PG0014;3300;Economy;17A;false
PG0014;3300;Economy;17C;false
PG0014;3300;Economy;17D;false
PG0014;3300;Economy;17E;false
PG0014;3300;Economy;17F;false
PG0014;3300;Economy;18A;false
PG0014;3300;Economy;18C;false
PG0014;3300;Economy;18D;false
PG0014;3300;Economy;18E;false
PG0014;3300;Economy;18F;false
PG0014;3300;Economy;19A;false
PG0014;3300;Economy;19C;false
PG0014;3300;Economy;19D;false
PG0014;3300;Economy;19E;false
PG0014;3300;Economy;19F;false
PG0014;3300;Economy;20A;false
PG0014;3300;Economy;20C;false
PG0014;3300;Economy;20D;false
PG0014;3300;Economy;20E;false
PG0014;3300;Economy;20F;false
PG0014;3300;Economy;4A;false
PG0014;3300;Economy;4C;false
PG0014;3300;Economy;4D;false
PG0014;3300;Economy;4E;false
PG0014;3300;Economy;4F;false
PG0014;3300;Economy;5A;false
PG0014;3300;Economy;5C;false
PG0014;3300;Economy;5D;false
PG0014;3300;Economy;5E;false
PG0014;3300;Economy;5F;false
PG0014;3600;Economy;6A;true
PG0014;3600;Economy;6C;true
PG0014;3600;Economy;6D;true
PG0014;3600;Economy;6E;true
PG0014;3600;Economy;6F;true
PG0014;3300;Economy;7A;false
PG0014;3300;Economy;7C;false
PG0014;3300;Economy;7D;false
PG0014;3300;Economy;7E;false
PG0014;3300;Economy;7F;false
PG0014;3300;Economy;8A;false
PG0014;3300;Economy;8C;false
PG0014;3300;Economy;8D;false
PG0014;3300;Economy;8E;false
PG0014;3300;Economy;8F;false
PG0014;3300;Economy;9A;false
PG0014;3300;Economy;9C;false
PG0014;3300;Economy;9D;false
PG0014;3300;Economy;9E;false
PG0014;3300;Economy;9F;false
PG0015;18700;Economy;18A;false
PG0015;18700;Economy;18C;false
PG0015;18700;Economy;18D;false
PG0015;18700;Economy;19A;false
PG0015;18700;Economy;19C;false
PG0015;18700;Economy;19D;false
PG0015;20600;Economy;1A;true
PG0015;20600;Economy;1B;true
PG0015;20600;Economy;1C;true
PG0015;20600;Economy;1D;true
PG0015;18700;Economy;20A;false
PG0015;18700;Economy;20B;false
PG0015;18700;Economy;20C;false
PG0015;18700;Economy;20D;false
PG0015;18700;Economy;21A;false
PG0015;18700;Economy;21B;false
PG0015;18700;Economy;21C;false
PG0015;18700;Economy;21D;false
PG0015;18700;Economy;22A;false
PG0015;18700;Economy;22B;false
PG0015;18700;Economy;22C;false
PG0015;18700;Economy;22D;false
PG0015;18700;Economy;23A;false
PG0015;18700;Economy;23B;false
PG0015;18700;Economy;2A;false
PG0015;18700;Economy;2C;false
PG0015;18700;Economy;2D;false
PG0015;18700;Economy;3D;false
PG0015;18700;Economy;4A;false
PG0015;18700;Economy;4B;false
PG0015;18700;Economy;4C;false
PG0015;18700;Economy;4D;false
PG0015;18700;Economy;5A;false
PG0015;18700;Economy;5C;false
PG0015;18700;Economy;5D;false
PG0015;18700;Economy;6A;false
PG0015;18700;Economy;6B;false
PG0015;18700;Economy;6C;false
PG0015;18700;Economy;6D;false
PG0015;18700;Economy;7A;false
PG0015;18700;Economy;7B;false
PG0015;18700;Economy;7D;false
PG0016;18700;Economy;18B;false
PG0016;18700;Economy;18C;false
PG0016;18700;Economy;18D;false
PG0016;18700;Economy;19A;false
PG0016;18700;Economy;19C;false
PG0016;18700;Economy;19D;false
PG0016;20600;Economy;1A;true
PG0016;20600;Economy;1B;true
PG0016;20600;Economy;1C;true
PG0016;18700;Economy;20A;false
PG0016;18700;Economy;20B;false
PG0016;18700;Economy;20C;false
PG0016;18700;Economy;20D;false
PG0016;18700;Economy;21A;false
PG0016;18700;Economy;21B;false
PG0016;18700;Economy;21C;false
PG0016;18700;Economy;21D;false
PG0016;18700;Economy;22A;false
PG0016;18700;Economy;22B;false
PG0016;18700;Economy;22C;false
PG0016;18700;Economy;22D;false
PG0016;18700;Economy;23A;false
PG0016;18700;Economy;23B;false
PG0016;18700;Economy;2A;false
PG0016;18700;Economy;2C;false
PG0016;18700;Economy;3A;false
PG0016;18700;Economy;3B;false
PG0016;18700;Economy;4B;false
PG0016;18700;Economy;4C;false
PG0016;18700;Economy;5A;false
PG0016;18700;Economy;5B;false
PG0016;18700;Economy;5C;false
PG0016;18700;Economy;6A;false
PG0016;18700;Economy;6D;false
PG0019;9500;Economy;18A;false
PG0019;9500;Economy;18B;false
PG0019;9500;Economy;18C;false
PG0019;9500;Economy;18D;false
PG0019;9500;Economy;19A;false
PG0019;9500;Economy;19B;false
PG0019;9500;Economy;19C;false
PG0019;9500;Economy;19D;false
PG0019;10500;Economy;1A;true
PG0019;10500;Economy;1B;true
PG0019;10500;Economy;1C;true
PG0019;10500;Economy;1D;true
PG0019;9500;Economy;20A;false
PG0019;9500;Economy;20B;false
PG0019;9500;Economy;20C;false
PG0019;9500;Economy;20D;false
PG0019;9500;Economy;21A;false
PG0019;9500;Economy;21B;false
PG0019;9500;Economy;21C;false
PG0019;9500;Economy;21D;false
PG0019;9500;Economy;22A;false
PG0019;9500;Economy;22B;false
PG0019;9500;Economy;22C;false
PG0019;9500;Economy;22D;false
PG0019;9500;Economy;23A;false
PG0019;9500;Economy;23B;false
PG0019;9500;Economy;2A;false
PG0019;9500;Economy;2B;false
PG0019;9500;Economy;2C;false
PG0019;9500;Economy;2D;false
PG0019;9500;Economy;3A;false
PG0019;9500;Economy;3B;false
PG0019;9500;Economy;3C;false
PG0019;9500;Economy;3D;false
PG0019;9500;Economy;4A;false
PG0019;9500;Economy;4B;false
PG0019;9500;Economy;4C;false
PG0019;9500;Economy;4D;false
PG0019;9500;Economy;5A;false
PG0019;9500;Economy;5B;false
PG0019;9500;Economy;5C;false
PG0019;9500;Economy;5D;false
PG0019;9500;Economy;6A;false
PG0019;9500;Economy;6B;false
PG0019;9500;Economy;6C;false
PG0019;9500;Economy;6D;false
PG0019;9500;Economy;7A;false
PG0019;9500;Economy;7B;false
PG0019;9500;Economy;7C;false
PG0019;9500;Economy;7D;false
PG0020;9500;Economy;18A;false
PG0020;9500;Economy;18B;false
PG0020;9500;Economy;18C;false
PG0020;9500;Economy;18D;false
PG0020;9500;Economy;19A;false
PG0020;9500;Economy;19B;false
PG0020;9500;Economy;19C;false
PG0020;9500;Economy;19D;false
PG0020;10500;Economy;1A;true
PG0020;10500;Economy;1B;true
PG0020;10500;Economy;1C;true
PG0020;10500;Economy;1D;true
PG0020;9500;Economy;20A;false
PG0020;9500;Economy;20B;false
PG0020;9500;Economy;20C;false
PG0020;9500;Economy;20D;false
PG0020;9500;Economy;21A;false
PG0020;9500;Economy;21B;false
PG0020;9500;Economy;21C;false
PG0020;9500;Economy;21D;false
PG0020;9500;Economy;22A;false
PG0020;9500;Economy;22B;false
PG0020;9500;Economy;22C;false
PG0020;9500;Economy;22D;false
PG0020;9500;Economy;23A;false
PG0020;9500;Economy;23B;false
PG0020;9500;Economy;2A;false
PG0020;9500;Economy;2B;false
PG0020;9500;Economy;2C;false
PG0020;9500;Economy;2D;false
PG0020;9500;Economy;3A;false
PG0020;9500;Economy;3B;false
PG0020;9500;Economy;3C;false
PG0020;9500;Economy;3D;false
PG0020;9500;Economy;4A;false
PG0020;9500;Economy;4B;false
PG0020;9500;Economy;4C;false
PG0020;9500;Economy;4D;false
PG0020;9500;Economy;5A;false
PG0020;9500;Economy;5B;false
PG0020;9500;Economy;5C;false
PG0020;9500;Economy;5D;false
PG0020;9500;Economy;6A;false
PG0020;9500;Economy;6B;false
PG0020;9500;Economy;6C;false
PG0020;9500;Economy;6D;false
PG0020;9500;Economy;7A;false
PG0020;9500;Economy;7B;false
PG0020;9500;Economy;7C;false
PG0020;9500;Economy;7D;false
PG0029;5300;Economy;1A;false
PG0029;5300;Economy;1B;false
PG0029;5300;Economy;2A;false
PG0029;5300;Economy;2B;false
PG0029;5300;Economy;3A;false
PG0029;5300;Economy;3B;false
PG0029;5300;Economy;4A;false
PG0029;5300;Economy;4B;false
PG0029;5300;Economy;5A;false
PG0029;5300;Economy;5B;false
PG0029;5300;Economy;6A;false
PG0029;5300;Economy;6B;false
PG0030;5300;Economy;1A;false
PG0030;5300;Economy;1B;false
PG0030;5300;Economy;2A;false
PG0030;5300;Economy;2B;false
PG0030;5300;Economy;3A;false
PG0030;5300;Economy;3B;false
PG0030;5300;Economy;4A;false
PG0030;5300;Economy;4B;false
PG0030;5300;Economy;5A;false
PG0030;5300;Economy;5B;false
PG0030;5300;Economy;6A;false
PG0030;5300;Economy;6B;false
PG0032;5300;Economy;1A;false
PG0032;5300;Economy;1B;false
PG0032;5300;Economy;2A;false
PG0032;5300;Economy;2B;false
PG0032;5300;Economy;3A;false
PG0032;5300;Economy;3B;false
PG0032;5300;Economy;4A;false
PG0032;5300;Economy;4B;false
PG0032;5300;Economy;5A;false
PG0032;5300;Economy;5B;false
PG0032;5300;Economy;6A;false
PG0032;5300;Economy;6B;false
PG0035;8700;Economy;1A;false
PG0035;8700;Economy;1B;false
PG0035;8700;Economy;2A;false
PG0035;8700;Economy;2B;false
PG0035;8700;Economy;3A;false
PG0035;8700;Economy;3B;false
PG0035;8700;Economy;4A;false
PG0035;8700;Economy;4B;false
PG0035;8700;Economy;5A;false
PG0035;8700;Economy;5B;false
PG0035;8700;Economy;6A;false
PG0035;8700;Economy;6B;false
PG0038;8700;Economy;1A;false
PG0038;8700;Economy;1B;false
PG0038;8700;Economy;2A;false
PG0038;8700;Economy;2B;false
PG0038;8700;Economy;3A;false
PG0038;8700;Economy;3B;false
PG0038;8700;Economy;4A;false
PG0038;8700;Economy;4B;false
PG0038;8700;Economy;5A;false
PG0038;8700;Economy;5B;false
PG0038;8700;Economy;6A;false
PG0038;8700;Economy;6B;false
PG0039;9700;Business;1A;false
PG0039;9700;Business;1C;false
PG0039;9700;Business;1D;false
PG0039;9700;Business;1F;false
PG0039;9700;Business;2A;false
PG0039;9700;Business;2C;false
PG0039;9700;Business;2D;false
PG0039;9700;Business;2F;false
PG0039;9700;Business;3A;false
PG0039;9700;Business;3C;false
PG0039;9700;Business;3D;false
PG0039;9700;Business;3F;false
PG0039;3200;Economy;10A;false
PG0039;3200;Economy;10C;false
PG0039;3200;Economy;10D;false
PG0039;3200;Economy;10E;false
PG0039;3200;Economy;10F;false
PG0039;3200;Economy;11A;false
PG0039;3200;Economy;11C;false
PG0039;3200;Economy;11D;false
PG0039;3200;Economy;11E;false
PG0039;3200;Economy;11F;false
PG0039;3200;Economy;12A;false
PG0039;3200;Economy;12C;false
PG0039;3200;Economy;12D;false
PG0039;3200;Economy;12E;false
PG0039;3200;Economy;12F;false
PG0039;3200;Economy;13A;false
PG0039;3200;Economy;13C;false
PG0039;3200;Economy;13D;false
PG0039;3200;Economy;13E;false
PG0039;3200;Economy;13F;false
PG0039;3200;Economy;14A;false
PG0039;3200;Economy;14C;false
PG0039;3200;Economy;14D;false
PG0039;3200;Economy;14E;false
PG0039;3200;Economy;14F;false
